,m,connected,bipartite,n_t,n_b,density,k_t,k_b,m_t,n_t_om,density_t,k_t_om,m_b,n_b_om,density_b,k_b_om,rc_t_density,rc_t_ncomponents,rc_t_slcc,rc_b_density,rc_b_ncomponents,rc_b_slcc
Athlete,9638723.0,False,True,404915.0,10030.0,0.002373311267806794,23.80431201610214,960.989332003988,78945829219.0,404915.0,0.96301383887688,389942.60067175305,707759.0,10030.0,0.014072032581088124,141.17063927396057,,,,,,
Boxer,125192.0,True,True,6457.0,535.0,0.03624031877307682,19.388570543596085,234.00373831775696,19980485.0,6457.0,0.9586094666096312,6188.782716431779,21581.0,535.0,0.15107984178655184,80.67663551401871,0.01903140132815444,0.0356521210436716,0.03553312719313483,0.0015364186550561132,0.0343174872202672,0.03427920457953065
AmateurBoxer,8040.0,True,True,445.0,80.0,0.2258426966292135,18.06741573033708,100.5,90557.0,445.0,0.9166616054256504,424.1545667447307,866.0,80.0,0.2740506329113924,24.742857142857126,0.17338483146067418,0.222072072072072,0.22159346846846853,0.05148840847674584,0.21604323709287604,0.21604323709287604
MotorsportRacer,165895.0,True,True,7838.0,1204.0,0.01757929890922408,21.165475886705792,137.7865448504983,28202567.0,7838.0,0.9182554812013582,7196.368206175046,44422.0,1204.0,0.06133890080999053,73.79069767441862,0.0058741460104448215,0.017176486697186064,0.01657388476250108,0.00036540691470585227,0.016575788562954656,0.016510671098047564
RacingDriver,115575.0,True,True,5454.0,894.0,0.02370343298311934,21.19086908690869,129.2785234899329,13370099.0,5454.0,0.8991124003897425,4902.859919325265,32003.0,894.0,0.08017365991016381,71.59507829977623,0.007926210342234698,0.023181418926264758,0.02268028887081019,0.0006654210727052608,0.022329687242706647,0.0222350342537046
FormulaOneRacer,23507.0,True,True,902.0,281.0,0.09274368544397188,26.060975609756106,83.65480427046263,397910.0,902.0,0.9792273182544156,882.2838137472287,6796.0,281.0,0.17275038129130654,50.340740740740756,0.06434367686488386,0.09061106481134047,0.08981321663157976,0.008939407090609206,0.08922632245802932,0.08906794425087065
NascarDriver,26608.0,True,True,986.0,374.0,0.0721545487086592,26.985801217038546,71.14438502673795,469038.0,986.0,0.9658837944419848,951.3955375253557,10187.0,374.0,0.14604808533210994,56.75208913649027,0.03212344907204627,0.07029506772713702,0.06986617443470237,0.005964275763544064,0.06948757130660177,0.06937065294824424
WinterSportPlayer,704569.0,True,True,27278.0,3425.0,0.007541373144744326,25.829203020749322,205.7135766423357,339904659.0,27278.0,0.9136460570733672,24921.52349879019,235000.0,3425.0,0.040077767924142166,137.22627737226264,0.003349183340433217,,,6.655713649368908e-05,0.007176776430699097,0.0071467014430155905
Skier,44873.0,True,True,2656.0,341.0,0.049545322050666016,16.894954819277107,131.59237536656892,3426524.0,2656.0,0.9718319606108048,2580.213855421685,7254.0,341.0,0.12513368983957218,42.54545454545456,0.024463423553551147,0.04866378381960665,0.04840421713029694,0.0030509068358997356,0.04661919737774591,0.04652174875974457
